Folder,Model,ID,Language,Words,Syllables,Phrases (Sentences),Avg Sentence Length,Has Pronunciation,Has Example,Compliance: Max 25 Words,Compliance: Max 2 Sentences,Compliance: Short Sentences (<15 words/sent),Compliance: No Double Negation,Compliance: No Self-Definition,Compliance: Active Voice Proxy,Compliance: Category+Function Pattern,Prompt Compliance Score
results_v5,ministral,T-001_D-001.1,es,33,62,3,11.0,False,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-002_D-002.1,es,23,44,3,7.67,False,False,True,False,True,True,True,False,False,0.571
results_v5,ministral,T-003_D-003.1,es,18,40,3,6.0,False,False,True,False,True,True,True,True,False,0.714
results_v5,ministral,T-004_D-004.1,es,23,46,2,11.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-005_D-005.1,es,462,908,33,14.0,False,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-006_D-006.1,es,28,58,3,9.33,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-007_D-007.1,es,273,570,23,11.87,True,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-008_D-008.1,es,558,1046,45,12.4,True,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-009_D-009.1,es,228,463,24,9.5,True,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-010_D-010.1,es,36,73,5,7.2,False,False,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-011_D-011.1,es,43,87,6,7.17,False,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-012_D-012.1,es,60,128,4,15.0,False,False,False,False,True,True,True,True,False,0.571
results_v5,ministral,T-013_D-013.1,es,579,1089,42,13.79,False,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-014_D-014.1,es,19,39,2,9.5,False,True,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-015_D-015.1,es,23,45,2,11.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-016_D-016.1,es,22,42,2,11.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-017_D-017.1,es,107,213,10,10.7,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-018_D-018.1,es,33,68,4,8.25,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-019_D-019.1,es,22,43,2,11.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-020_D-020.1,es,66,130,7,9.43,True,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-021_D-021.1,es,35,61,2,17.5,False,False,False,True,False,True,True,False,False,0.429
results_v5,ministral,T-022_D-022.1,es,39,85,2,19.5,False,False,False,True,False,True,True,True,False,0.571
results_v5,ministral,T-023_D-023.1,es,32,52,4,8.0,False,False,False,False,True,True,True,True,False,0.571
results_v5,ministral,T-024_D-024.1,es,166,324,11,15.09,True,True,False,False,False,True,False,False,False,0.143
results_v5,ministral,T-025_D-025.1,es,24,47,2,12.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-026_D-026.1,es,438,938,40,10.95,False,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-027_D-027.1,es,24,41,2,12.0,False,False,True,True,True,True,False,False,False,0.571
results_v5,ministral,T-028_D-028.1,es,25,45,2,12.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-029_D-029.1,es,36,66,4,9.0,False,False,False,False,True,True,True,False,False,0.429
results_v5,ministral,T-030_D-030.1,es,154,303,12,12.83,False,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-031_D-031.1,es,50,98,5,10.0,True,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-032_D-032.1,es,60,124,7,8.57,False,False,False,False,True,True,True,False,False,0.429
results_v5,ministral,T-033_D-033.1,es,56,102,7,8.0,True,False,False,False,True,True,True,True,False,0.571
results_v5,ministral,T-034_D-034.1,es,38,76,4,9.5,False,False,False,False,True,True,True,True,False,0.571
results_v5,ministral,T-035_D-035.1,es,185,363,17,10.88,False,False,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-036_D-036.1,es,51,89,4,12.75,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-037_D-037.1,es,32,56,2,16.0,False,False,False,True,False,True,True,True,False,0.571
results_v5,ministral,T-038_D-038.1,es,389,767,38,10.24,True,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-039_D-039.1,es,140,252,8,17.5,False,False,False,False,False,True,False,False,False,0.143
results_v5,ministral,T-040_D-040.1,es,163,333,12,13.58,True,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-041_D-041.1,es,48,98,6,8.0,False,False,False,False,True,True,True,True,False,0.571
results_v5,ministral,T-042_D-042.1,es,21,39,2,10.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-043_D-043.1,es,389,782,17,22.88,False,True,False,False,False,False,False,True,False,0.143
results_v5,ministral,T-044_D-044.1,es,54,109,6,9.0,True,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-045_D-045.1,es,201,421,12,16.75,False,True,False,False,False,True,False,True,False,0.286
results_v5,ministral,T-046_D-046.1,es,485,913,37,13.11,False,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-047_D-047.1,es,536,1052,41,13.07,True,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-048_D-048.1,es,19,35,2,9.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-049_D-049.1,es,22,46,4,5.5,False,False,True,False,True,True,False,True,False,0.571
results_v5,ministral,T-050_D-050.1,es,564,1108,43,13.12,False,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-051_D-051.1,es,18,31,2,9.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-052_D-052.1,es,430,856,35,12.29,False,False,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-053_D-053.1,es,32,56,3,10.67,False,False,False,False,True,True,True,True,False,0.571
results_v5,ministral,T-054_D-054.1,es,15,31,2,7.5,False,False,True,True,True,True,True,False,False,0.714
results_v5,ministral,T-055_D-055.1,es,29,48,2,14.5,False,False,False,True,True,True,True,True,False,0.714
results_v5,ministral,T-056_D-056.1,es,14,35,2,7.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-057_D-057.1,es,288,546,27,10.67,True,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-058_D-058.1,es,22,44,2,11.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-059_D-059.1,es,136,260,10,13.6,True,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-060_D-060.1,es,559,1089,44,12.7,True,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-061_D-061.1,es,24,48,2,12.0,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-062_D-062.1,es,37,65,4,9.25,True,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-063_D-063.1,es,154,304,11,14.0,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-064_D-064.1,es,84,167,7,12.0,False,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-065_D-065.1,es,176,337,14,12.57,True,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-066_D-066.1,es,23,41,2,11.5,False,False,True,True,True,True,True,False,False,0.714
results_v5,ministral,T-067_D-067.1,es,21,38,2,10.5,False,False,True,True,True,True,True,False,False,0.714
results_v5,ministral,T-068_D-068.1,es,184,341,11,16.73,True,False,False,False,False,True,False,False,False,0.143
results_v5,ministral,T-069_D-069.1,es,33,63,3,11.0,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-070_D-070.1,es,25,54,4,6.25,False,False,True,False,True,True,True,True,False,0.714
results_v5,ministral,T-071_D-071.1,es,75,144,10,7.5,False,False,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-072_D-072.1,es,230,435,11,20.91,False,False,False,False,False,False,False,False,False,0.0
results_v5,ministral,T-073_D-073.1,es,92,162,8,11.5,True,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-074_D-074.1,es,21,43,2,10.5,False,False,True,True,True,True,True,True,False,0.857
results_v5,ministral,T-075_D-075.1,es,18,37,3,6.0,False,False,True,False,True,True,True,True,False,0.714
results_v5,ministral,T-076_D-076.1,es,535,1105,59,9.07,False,True,False,False,True,True,False,True,False,0.429
results_v5,ministral,T-076_D-076.2,es,22,41,2,11.0,False,False,True,True,True,True,True,False,False,0.714
results_v5,ministral,T-076_D-076.3,es,73,146,8,9.12,True,True,False,False,True,True,False,False,False,0.286
results_v5,ministral,T-077_D-077.1,es,17,38,2,8.5,False,False,True,True,True,True,True,True,False,0.857
